rank,nameEn,id,country,degree,deadline,sourceUrl,gapCount,gapFields
18,Funded Scholarship for Pre-medical and Medical Students from BeMo,cmpfgp5q60036a8cwspgx4ba2,Canada,Bachelor / Master / PhD,2026-10-31,https://www.for9a.com/en/opportunity/funded-scholarship-for-pre-medical-and-medical-students-from-bemo,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
19,Human Rights Scholarship 2026 at the University of Melbourne | Fully Funded Master’s & PhD in Australia,cmpfgphv3003ja8cwmfvsuxc7,Australia,Master / PhD,2026-10-31,https://www.for9a.com/en/opportunity/human-rights-scholarship-2026-at-the-university-of-melbourne-fully-funded-masters-phd-in-australia,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
20,DAAD Funded Scholarships for International Students in Germany,cmpfgkq1a001ldu2ianbbp966,Germany,Bachelor / Master / PhD,2026-11-15,https://www.for9a.com/en/opportunity/DAAD-Funded-Scholarships-for-International-Students-in-Germany,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
21,Fully Funded Research Scholarships at CQUniversity Australia,cmpfglnul002pdu2ir5j7nh83,Australia,Bachelor / Master / PhD,2026-12-30,https://www.for9a.com/en/opportunity/fully-funded-research-scholarships-at-cquniversity-australia,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
22,Fully Funded ADB Master's Scholarship in Asia and Pacific 2026,cmpfgl10i001ydu2ipn70h9ut,Japan,Master,2026-12-30,https://www.for9a.com/en/opportunity/fully-funded-adb-masters-scholarship-in-asia-and-pacific-2026,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
23,Catholic Foresters Undergraduate Scholarship 2026 in the United States,cmpfgl3fa0021du2id0kd4ozz,United States,Master,2027-01-30,https://www.for9a.com/en/opportunity/fully-funded-bachelors-scholarship-for-ncsf-members-2026,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
24,Fully Funded Shanghai Government Scholarship 2026 with Stipend & Accommodation,cmpfgovvo002va8cwg18lie86,China,Bachelor / Master / PhD,2027-04-30,https://www.for9a.com/en/opportunity/fully-funded-shanghai-government-scholarships-2026,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
25,Opportunity to study a diploma in the United States with partial funding at KCC 2026,cmpfgkaui0013du2i110rhjot,United States,Bachelor / Master / PhD,2027-05-01,https://www.for9a.com/en/opportunity/15-to-finish-scholarship-for-associate-degree-at-kankakee-2026,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
26,"Fully Funded Undergraduate and Master's Scholarships at University of Siena, Italy 2026",cmpfgoxlm002xa8cwb7485bgw,Italy,Master,2027-05-06,https://www.for9a.com/en/opportunity/fully-funded-undergraduate-and-masters-scholarships-at-university-of-siena-italy-2026,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
27,Partially Funded Harvard MBA Scholarship 2026,cmpfgu88a004l56hicg19p0ky,United States,Bachelor,2027-05-31,https://www.for9a.com/en/opportunity/partially-funded-harvard-mba-scholarship-2026,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
28,KAUST Fellowship (Saudi Arabia),cmpfgjmkd000edu2ieult5wkd,Saudi Arabia,Master / PhD,,https://admissions.kaust.edu.sa/fees-funding,2,maximumAge|applicationFee
29,Swiss Government Excellence Scholarship,cmpfgjli4000ddu2i3d3xolpw,Switzerland,PhD / Research,,https://www.sbfi.admin.ch/en/swiss-government-excellence-scholarships,3,minimumAge|minimumGPA|applicationFee
30,MEXT Scholarship (Japanese Government Scholarship),cmpfgjauv0000du2ix1fj11e6,Japan,Bachelor / Master / PhD,,https://www.studyinjapan.go.jp/en/smap-stopj-applications-research.html,4,minimumAge|maximumAge|minimumGPA|applicationFee
31,Fulbright Foreign Student Program (USA),cmpfgjfnr0006du2izkuz0zw3,United States,Master / PhD,,https://foreign.fulbrightonline.org/about/foreign-student-program,4,minimumAge|maximumAge|minimumGPA|applicationFee
32,Chinese Government Scholarship (CSC),cmpfgjptf000idu2ingjhw41k,China,Bachelor / Master / PhD,,http://www.campuschina.org,4,minimumAge|maximumAge|minimumGPA|applicationFee
33,Erasmus Mundus Joint Master Degree,cmpfgjeua0005du2i1ym0q5h0,Multiple (Europe),Master,,https://erasmus-plus.ec.europa.eu/opportunities/individuals/students/erasmus-mundus-joint-masters,4,minimumAge|maximumAge|minimumGPA|applicationFee
34,Swedish Institute Scholarship for Global Professionals,cmpfgjkmy000cdu2i4kmo6gsn,Sweden,Master,,https://si.se/en/apply/scholarships/swedish-institute-scholarships-for-global-professionals/,4,minimumAge|maximumAge|minimumGPA|applicationFee
35,Australia Awards Scholarship,cmpfgjscq000kdu2intuoongg,Australia,Bachelor / Master / PhD,,https://www.dfat.gov.au/people-to-people/australia-awards/australia-awards-scholarships,4,minimumAge|maximumAge|minimumGPA|applicationFee
36,Turkiye Burslari Scholarship (Türkiye),cmpfgje2c0004du2iyshrwhua,Turkey,Bachelor / Master / PhD,,https://www.turkiyeburslari.gov.tr/en/,4,minimumAge|maximumAge|minimumGPA|applicationFee
37,Stipendium Hungaricum Scholarship,cmpfgjbq40001du2iv68048n1,Hungary,Bachelor / Master / PhD,,https://stipendiumhungaricum.hu/apply/,4,minimumAge|maximumAge|minimumGPA|applicationFee
38,Fully-funded Bachelor's Scholarships in Various Disciplines from Nanyang Technological University in Singapore,cmpfgl4z40023du2i2grodh8h,Singapore,Bachelor,,https://www.for9a.com/en/opportunity/fully-funded-bachelors-scholarships-in-various-disciplines-from-nanyang-technological-university-in-singapore,10,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleEducation|fieldOfStudy|requiredDocuments
39,Bachelor and Postgraduate Scholarships for Jordanians from Waikato University in New Zealand,cmpfgkgpo001adu2ii9vyc5lv,New Zealand,Master,,https://www.for9a.com/en/opportunity/Bachelor-and-Postgraduate-Scholarships-for-Jordanians-from-Waikato-University-in-New-Zealand-2020,10,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleEducation|fieldOfStudy|requiredDocuments
40,Funded Undergraduate Scholarships in all Disciplines from the University of Maine in the USA,cmpfgp8rk0039a8cwq2c0l0ck,United States,Master,,https://www.for9a.com/en/opportunity/Funded-Undergraduate-Scholarships-in-all-Disciplines-from-the-University-of-Maine-in-the-USA-2020,10,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleEducation|fieldOfStudy|requiredDocuments
41,Scholarship for Palestinian Bachelor Students from Ahdaf,cmpfgv114005m56hig2gbmbjf,Palestine,Bachelor,,https://www.for9a.com/en/opportunity/Scholarship-for-Palestinian-Bachelor-Students-from-Ahdaf-2019,10,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleEducation|fieldOfStudy|requiredDocuments
42,Tuition Fees Scholarships in Philosophy at ANU in Australia,cmpfgv8oo005w56hio3ili29x,Australia,Bachelor / Master / PhD,,https://www.for9a.com/en/opportunity/Tuition-Fees-Scholarships-in-Philosophy-at-ANU-in-Australia-2020,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
43,Partially Funded Business & Economics Scholarships for International Students in the University of Melbourne in Australia,cmpfgu5v4004i56hiq14tgdxq,Australia,Bachelor / Master / PhD,,https://www.for9a.com/en/opportunity/partially-funded-business-economics-scholarships-for-graduate-in-the-university-of-melbourne,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
44,"Partially-Funded International Relations, Politics and Security Studies Undergraduate Scholarship at University of Bradford",cmpfgu929004m56hiwecfy4nu,United Kingdom,Master,,https://www.for9a.com/en/opportunity/partially-funded-international-relations-politics-and-security-studies-undergraduate-scholarship-at-university-of-bradford,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
45,"Partially Funded Master Scholarships in Commerce, Economics and Management from the University of Melbourne in Australia 2026",cmpfgua59004n56hijtdypl1k,Australia,Master,,https://www.for9a.com/en/opportunity/partially-funded-master-scholarships-in-commerce-economics-and-management-from-the-university-of-melbourne-in-australia-2026,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
46,University of Sydney Undergraduate Scholarship 2026 (Fully Funded),cmpfgvm9j006d56hio0t7vvx8,Australia,Master,,https://www.for9a.com/en/opportunity/university-of-sydney-undergraduate-scholarship-2026-fully-funded,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
47,Partially Funded MSc Scholarship in Construction and Project Management in the UK from the University of Bradford,cmpfgudat004r56hi5stb7sz2,United Kingdom,Bachelor / Master / PhD,,https://www.for9a.com/en/opportunity/partially-funded-msc-scholarship-in-construction-and-project-management-in-the-uk,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
48,Partially Funded PhD Scholarships in Meteorology at the University of Reading in the UK,cmpfguexb004t56hixb90r9bm,United Kingdom,PhD,,https://www.for9a.com/en/opportunity/partially-funded-phd-scholarships-in-meteorology-at-the-university-of-reading-in-the-uk,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
49,Partially Funded Scholarships in Australia for all Majors at Newman College in the University of Melbourne,cmpfguird004y56hi4xgeqigk,Australia,Bachelor / Master / PhD,,https://www.for9a.com/en/opportunity/partially-funded-scholarships-at-newman-college-in-the-university-of-melbourne,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
50,Partially Funded Scholarships for all majors at the University of Melbourne in Australia,cmpfgujgc004z56hi5nqdrgtp,Australia,Bachelor / Master / PhD,,https://www.for9a.com/en/opportunity/partially-funded-scholarships-for-all-majors-at-the-university-of-melbourne-in-australia,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
51,Partially Funded Scholarships for Undergraduate and Graduate in Australia,cmpfguk6b005056hiceqzag6m,Australia,Master,,https://www.for9a.com/en/opportunity/Partially-Funded-Scholarships-for-Undergraduate-and-Graduate-in-Australia-2019,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
52,Cross-Cultural Undergraduate Scholarship in Winona State University in the US,cmpfgknks001idu2itswbbje5,United States,Master,,https://www.for9a.com/en/opportunity/Cross-Cultural-Undergraduate-Scholarship-in-Winona-State-University-in-the-US-2020,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
53,"Partially Funded Scholarships of $18,750 per year from the Australian National University",cmpfgulrf005256hid6lbflsm,Australia,Bachelor / Master / PhD,,https://www.for9a.com/en/opportunity/partially-funded-scholarships-of-18750-per-year-from-the-australian-national-university,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
54,Partially Funded Science Graduate Scholarships for International Students at the University of Melbourne in Australia,cmpfgumgo005356hi5wo63ibh,Australia,Master,,https://www.for9a.com/en/opportunity/partially-funded-science-graduate-scholarships-for-international-students-at-the-university-of-melbourne-in-australia,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
55,Partially Funded Undergraduate Excellence Scholarships at Glasgow University in the UK,cmpfgun8a005456hi4m6g32ze,United Kingdom,Master,,https://www.for9a.com/en/opportunity/Partially-Funded-Undergraduate-Excellence-Scholarships-at-Glasgow-University-in-the-UK,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
56,Partially-Funded Undergraduate Scholarship from Albukhary International University in Malaysia,cmpfguo0n005556hi5y2o94sm,Malaysia,Master,,https://www.for9a.com/en/opportunity/partially-funded-undergraduate-scholarship-from-albukhary-international-university-in-malaysia,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
57,Federation University Australia Global Excellence Scholarship for Undergraduate and Postgraduate Students,cmpfgkwr9001tdu2i2szv03xw,Australia,Master,,https://www.for9a.com/en/opportunity/federation-university-australia-global-excellence-scholarship-for-undergraduate-and-postgraduate-students,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
58,Funded Scholarship for International Students at Federation University in Australia,cmpfgkxji001udu2iyy1krtvd,Australia,Bachelor / Master / PhD,,https://www.for9a.com/en/opportunity/federation-university-australia-global-pathways-scholarship,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
59,Full and Partial Scholarships/Financial Aid for International Students at Brac University 2026,cmpfgkyif001vdu2ib57lzbqy,Bangladesh,Bachelor / Master / PhD,,https://www.for9a.com/en/opportunity/full-and-partial-scholarshipsfinancial-aid-for-international-students-at-brac-university-2026,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
60,Partially-Funded University of Bradford MERO Scholarship,cmpfgupes005756hifjh8d8x3,United Kingdom,Bachelor / Master / PhD,,https://www.for9a.com/en/opportunity/partially-funded-university-of-bradford-mero-scholarship,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
61,Research Program Scholarships in Philosophy at ANU in Australia (Partially Funded),cmpfguyo5005j56hiwzl7lnt4,Australia,Bachelor / Master / PhD,,https://www.for9a.com/en/opportunity/Research-Program-Scholarships-in-Philosophy-at-ANU-in-Australia-Partially-Funded-2020,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
62,Postgraduate Scholarships at Abu Dhabi University 2026,cmpfgux5i005h56hi1iixd2iw,United Arab Emirates,Master,,https://www.for9a.com/en/opportunity/postgraduate-scholarships-at-abu-dhabi-university-2026,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
63,Postgraduate Scholarship and Internship in Computer Science at Maharishi International University in the US,cmpfguw9a005g56hijhbzedgf,United States,Master,,https://www.for9a.com/en/opportunity/Postgraduate-Scholarship-and-Internship-in-Computer-Science-at-Maharishi-International-University-in-the-US-2020,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
64,Scholarship for Athletes from Undergraduates and Graduates at Queensland University in Australia,cmpfgv054005l56hikn922m5s,Australia,Master,,https://www.for9a.com/en/opportunity/Scholarship-for-Athletes-from-Undergraduates-and-Graduates-at-Queensland-University-in-Australia,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
65,Scholarship in Information Technology for Tawjihi Certificate Holders from ASAC,cmpfgv2go005o56hivl2bwyx1,Jordan,Bachelor / Master / PhD,,https://www.for9a.com/en/opportunity/scholarship-in-information-technology-for-tawjihi-certificate-holders-from-abdul-aziz-al-ghurair-foundation,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
66,HAN University Bachelor Scholarships in Netherlands 2026-23,cmpfgpf0c003ga8cw7zfqbwnr,Netherlands,Bachelor,,https://www.for9a.com/en/opportunity/han-university-bachelor-scholarships-in-netherlands-2026-23,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
67,Bachelor Scholarships up to $7500 in Australia,cmpfgkj7g001ddu2i4yny7538,Australia,Bachelor,,https://www.for9a.com/en/opportunity/Bachelor-Scholarships-up-to-7500-in-Australia-2019,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
68,Partial Funded Scholarships for Undergraduate Students in Various Majors in Australian National University,cmpfgv39a005p56him4d5x9ve,Australia,Master,,https://www.for9a.com/en/opportunity/scholarships-for-undergraduate-students-in-various-majors-in-australian-national-university,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
69,H.H. Sheikh Hamdan Bin Zayed Scholarship for Emirati high schools Students,cmpfgpfw9003ha8cwbihtcde1,United Arab Emirates,Bachelor / Master / PhD,,https://www.for9a.com/en/opportunity/hh-sheikh-hamdan-bin-zayed-scholarship,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
70,Funded Bachelor's Scholarships in Various Disciplines from Nanyang Technological University in Singapore,cmpfgp2t80033a8cw3i9ilbqg,Singapore,Bachelor,,https://www.for9a.com/en/opportunity/funded-bachelors-scholarships-in-various-disciplines-from-nanyang-technological-university-in-singapore,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
71,Tuition Fee Waiver Scholarships in All Specialties for International Students at the University of Melbourne in Australia,cmpfgv9ip005x56hiewya06do,Australia,Bachelor / Master / PhD,,https://www.for9a.com/en/opportunity/Tuition-Fee-Waiver-Scholarships-in-All-Specialties-for-International-Students-at-the-University-of-Melbourne-in-Australia,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
72,Undergraduate Excellence Scholarships at Swinburne University of Technology in Australia,cmpfgva7u005y56hijp7ntped,Australia,Master,,https://www.for9a.com/en/opportunity/Undergraduate-Excellence-Scholarships-at-Swinburne-University-of-Technology-in-Australia,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
73,Humanities and Social Sciences Undergraduate Scholarship from Nanyang Technological University 2026,cmpfgpgxz003ia8cw1av5y83z,Singapore,Master,,https://www.for9a.com/en/opportunity/humanities-and-social-sciences-undergraduate-scholarship-from-nanyang-technological-university-2026,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
74,Government of Turkey Research Scholarships in Different Fields in PhD in Turkey,cmpfgpd42003ea8cwv8v47p8k,Turkey,PhD,,https://www.for9a.com/en/opportunity/Government-of-Turkey-Research-Scholarships-in-Different-Fields-in-PhD-in-Turkey-2020,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
75,International Scholarship for Students Entering their First University Year from University of Calgary in Canada,cmpfgpilu003ka8cwypfjqivt,Canada,Bachelor / Master / PhD,,https://www.for9a.com/en/opportunity/international-entrance-scholarship-from-university-of-calgary-in-canada,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
76,Jordan Petroleum Refinery Company Scholarship 2026,cmpfgpm57003oa8cw7f6ucafc,Jordan,Bachelor / Master / PhD,,https://www.for9a.com/en/opportunity/jordan-petroleum-refinery-company-scholarship-2026,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
